Ne,C,gamma,avg,max,min,train_eps,test_eps
70.0,30.0,0.30000000000000004,24.453,56,2,47000,1000
70.0,30.0,0.5,24.569,53,2,50000,1000
70.0,30.0,0.7000000000000001,22.763,52,3,49000,1000
70.0,30.0,0.9,23.3,52,3,50000,1000
70.0,70.0,0.1,25.14,56,2,50000,1000
70.0,70.0,0.7000000000000001,23.957,52,4,50000,1000
70.0,70.0,0.9,22.444,51,4,50000,1000
70.0,90.0,0.9,23.041,49,3,50000,1000
90.0,10.0,0.1,23.745,56,3,50000,1000
90.0,10.0,0.5,22.421,50,3,50000,1000
90.0,10.0,0.7000000000000001,22.997,52,2,50000,1000
90.0,10.0,0.9,21.608,49,2,50000,1000
90.0,30.0,0.7000000000000001,22.403,50,2,50000,1000
90.0,30.0,0.9,22.562,47,3,50000,1000
90.0,50.0,0.1,21.718,56,2,50000,1000
90.0,50.0,0.7000000000000001,23.118,49,2,50000,1000
90.0,50.0,0.9,22.123,49,2,50000,1000
90.0,70.0,0.5,22.842,51,2,50000,1000
90.0,70.0,0.7000000000000001,22.155,56,1,50000,1000
90.0,70.0,0.9,12.756,32,2,22000,1000
90.0,90.0,0.9,21.311,50,2,50000,1000
50,10,0.3,25.871,51,7,100000,1000
50,10,0.3,25.468,56,7,100000,1000
50,50,0.1,25.175,57,5,100000,1000
30,30,0.7,24.15,52,7,100000,1000
30,30,0.15,25.089,54,7,49000,1000
30,30,0.15,24.896,62,5,37000,1000
30,30,0.44999999999999996,23.988,58,7,38000,1000
30,30,0.6499999999999999,24.254,55,4,27000,1000
30,30,0.75,23.469,58,7,50000,1000
30,30,0.85,22.56,50,2,29000,1000
30,30,0.95,22.696,52,3,25000,1000
